site,category,comment
2conference.csv,error-prevention,The only concern I have is that registering for the event is not clearly posted on the main page. You have to go to a seperate website in order to register. Everything else is how I expected it to be. The menu links lead to the pages that they should lead to.
2conference.csv,visibility-system-status,There are descriptions on every page. There should be no confusion as to what it is supposed to be about.
2conference.csv,consistency-standards,Most websites have menus to navigate the site just like the one linked to above. I don't feel anything needs to be improved.
2conference.csv,aesthetic-minimalist,yea has alot of writing
2conference.csv,error-prevention,seems simple to navigate through website
2conference.csv,visibility-system-status,yes because they wrote alot
2conference.csv,consistency-standards,yeah seems aliitle hard and time consuming
2conference.csv,aesthetic-minimalist,Not cluttered at all.
2conference.csv,error-prevention,"So far, I haven't had any troubles navigating the website."
2conference.csv,visibility-system-status,Easy to understand.
2conference.csv,consistency-standards,It doesn't seem all that different.
2conference.csv,aesthetic-minimalist,I think the layout is fine and does not look cluttered
2conference.csv,error-prevention,I thought the site was easy to navigate
2conference.csv,visibility-system-status,I thought the website was easy to comprehend
2conference.csv,consistency-standards,They layout looks familar and similar to other sites I've seen
2conference.csv,aesthetic-minimalist,"I didn't think that the website looked too cluttered. I guess it's possible that they could've made things easier, but all in all, it's nothing that needs much time or attention focused on in my opinion."
2conference.csv,error-prevention,I didn't have any problems navigating these webpages. I had no disruptions or anything that tried to make me perform a certain action before continuing. Very straight-forward.
2conference.csv,visibility-system-status,It was very clear to me what the website was doing and what purpose the website served. Very easy to comprehend on my end.
2conference.csv,consistency-standards,"I can't imagine what issues anyone had with this website. It was very easy to navigate, self-explanatory and not difficult in the slightest."
2conference.csv,aesthetic-minimalist,The website was not cluttered.
2conference.csv,error-prevention,Seemed straightforward.
2conference.csv,visibility-system-status,The website did not behave abnormally.
2conference.csv,consistency-standards,The website seemed normal.
2conference.csv,aesthetic-minimalist,I actually thought it was pretty simple and clean.
2conference.csv,error-prevention,I didn't have any issues navigating the website.
2conference.csv,visibility-system-status,"I guess I don't know what you mean by ""doing"" What is it supposed to do?"
2conference.csv,consistency-standards,It seemed intuitive to me.
2conference.csv,error-prevention,The floating menu at the top of the page blends in with background text.
2conference.csv,aesthetic-minimalist,This is one of the most fluidly designed websites I've seen in a while and I hardly agree with the above statements.
2conference.csv,error-prevention,I had no problems navigating the webpage myself.
2conference.csv,visibility-system-status,"Although registering took a bit of guesswork, it most certainly was not difficult at all for me to get around."
2conference.csv,consistency-standards,"If anything, I suggest making the labels have some sort of subheading. It seems somewhat simplistic and might be harder for the less computer literate to gain a strong understanding of the site."
2conference.csv,aesthetic-minimalist,"I disagree as long as you can read you'll know what to do,previous participants must of not paid attention"
2conference.csv,error-prevention,i had no problems interacting with the webpage all was good
2conference.csv,visibility-system-status,"Not true i find it easy to understand, no need for improvements"
2conference.csv,consistency-standards,"not sure, i think it looks great who ever created it did a good job on the design"
2conference.csv,aesthetic-minimalist,"It did not look cluttered, but some of the information was hidden in the other page and not placed on the main pages."
2conference.csv,error-prevention,"It did not ask me to make changes, but I had to reload the registration page twice before it would let me view the page."
2conference.csv,visibility-system-status,I understood what the website was doing.
2conference.csv,consistency-standards,"it wasn't hard or easy to navigat this page. Perhaps you could add a drop-down list to the main pages(Home, About, etc.) It was hard to find the ""registration"" page."
2conference.csv,aesthetic-minimalist,yup it was too much writing
2conference.csv,error-prevention,yes it was
2conference.csv,visibility-system-status,yea i wasnt sure what to do
2conference.csv,consistency-standards,yea not sure how to get info
2conference.csv,aesthetic-minimalist,the websites looked clear and were easy for me to use. wasn't confusing or cluttered
2conference.csv,error-prevention,I did not have any issues at all so i disagree.
2conference.csv,visibility-system-status,i understood the main point as to what the website was trying to do.
2conference.csv,consistency-standards,"it looks like many websites i see today, maybe not with the same content, but it was very accessible."
2scratchpad.csv,aesthetic-minimalist,maybe alittle
2scratchpad.csv,error-prevention,easy to navigate
2scratchpad.csv,visibility-system-status,its about the two school
2scratchpad.csv,consistency-standards,no seems simple
2scratchpad.csv,aesthetic-minimalist,The website was fine.
2scratchpad.csv,error-prevention,Everything worked well.
2scratchpad.csv,visibility-system-status,The website seemed normal.
2scratchpad.csv,consistency-standards,"I have no experience with the websites, so it was fine."
2scratchpad.csv,consistency-standards,"There is some things that are normal to see on the website. The thing that is most different, in my opinion, is the schedule. When you click on the team it opens up a new page with the information on it."
2scratchpad.csv,aesthetic-minimalist,"The design is fine, not cluttered at all."
2scratchpad.csv,error-prevention,Navigation is easy.
2scratchpad.csv,visibility-system-status,"It may be hard for someone who doesn't know cricket, but otherwise it's plain and simple."
2scratchpad.csv,consistency-standards,The website is easy to understand.
2scratchpad.csv,aesthetic-minimalist,kind of hard to understand with alot of writing
2scratchpad.csv,error-prevention,easy navigation
2scratchpad.csv,visibility-system-status,its about the two schools
2scratchpad.csv,consistency-standards,seems pretty easy
2scratchpad.csv,aesthetic-minimalist,The information on the site was clear and easy to read
2scratchpad.csv,error-prevention,I had no trouble navigating the website.
2scratchpad.csv,visibility-system-status,everything worked great for me
2scratchpad.csv,consistency-standards,I felt it was an easy & straight-forward format
2scratchpad.csv,aesthetic-minimalist,the websites looked clear and were easy for me to use. wasn't confusing or cluttered
2scratchpad.csv,error-prevention,I did not have any issues at all so i disagree. everything was where i had expected it to be.
2scratchpad.csv,visibility-system-status,i understood the main point as to what the website was trying to do.
2scratchpad.csv,consistency-standards,"it looks like many websites i see today, maybe not with the same content, but it was very accessible."
2scratchpad.csv,aesthetic-minimalist,"The website was not cluttered at all. The navigation links at the top were simple to follow, and the information displayed was tight, and legible. No clutter was found in my case."
2scratchpad.csv,error-prevention,"I feel that the website was very responsive to every single move that I made. Also, it was extremely simple to find the answers to the questions listed in the HIT. Everything was placed according to common sense."
2scratchpad.csv,visibility-system-status,"I thought the website provided it's job very well, and I knew exactly where to click right away. Every single link I visited provided the exact information that I wanted."
2scratchpad.csv,consistency-standards,"The website was very similar to sites of the same genre. All of the information that I needed to access was in their respective places, and in plain view."
2scratchpad.csv,aesthetic-minimalist,"No, it wasn't cluttered. It was very streamlined."
2scratchpad.csv,error-prevention,Your listed link is broken but I had no problems with the website itself once I got there.
2scratchpad.csv,visibility-system-status,"No, i had no issues whatsoever."
2scratchpad.csv,consistency-standards,The website is different but if anything it made navigation easier as the links were readily available at the top of the screen.
2scratchpad.csv,aesthetic-minimalist,I actually love how i looks with the pictures and the font.  It isn't cluttered.
2scratchpad.csv,error-prevention,There is some information I expected to find in certain sections that wasn't there.
2scratchpad.csv,visibility-system-status,I understood what it was doing.
2scratchpad.csv,consistency-standards,It was a little difficult just because information wasn't where I expected it to be.
2scratchpad.csv,aesthetic-minimalist,It was actually not cluttered at all
2scratchpad.csv,error-prevention,I had no problems
2scratchpad.csv,visibility-system-status,The links and everything worked fine
2scratchpad.csv,consistency-standards,It looked a bit different but was easy to navigate
2scratchpad.csv,aesthetic-minimalist,"Not only did I believe this webpage was not cluttered, I actually thought it was quite spacious."
2scratchpad.csv,error-prevention,The website was very easy to navigate and I never experienced any issues.
2scratchpad.csv,visibility-system-status,"It was never unclear what the purpose of this website was, or how to find information that I was seeking."
2scratchpad.csv,consistency-standards,I have gathered information from a couple of these websites now and they have all been nearly identical. There is nothing confusing about it or hard about it at all in my opinion.
2scratchpad.csv,aesthetic-minimalist,I thought it was neat and organized.
2scratchpad.csv,error-prevention,It was easy for me.
2scratchpad.csv,visibility-system-status,Website was clear to understand.
2scratchpad.csv,consistency-standards,It seemed like other sites to me.
2scratchpad.csv,aesthetic-minimalist,"I did not find the website design cluttered; however, some people may find the large background image of the cricket team to be a bit too much."
2scratchpad.csv,error-prevention,"I did not encounter any technical difficulties, but I did have to search for the information. For example, I had to click on ""TEAM"" to find out who the faculty adviser and alumni were."
2scratchpad.csv,visibility-system-status,"I did not have any trouble with what the website was doing. When I clicked on a link, it took me to that link quickly and without problem."
2scratchpad.csv,consistency-standards,"I neither agree nor disagree with these comments, as I do not normally view cricket websites. However, it did not take me too long to find out the information."
2scratchpad.csv,error-prevention,Worked fine. No comments.
2scratchpad.csv,consistency-standards,"Don't visit many similar websites, but again, was fine."
2scratchpad.csv,aesthetic-minimalist,It does not look cluttered
2scratchpad.csv,error-prevention,I think the navigation worked well
2scratchpad.csv,visibility-system-status,I think the site is easy to understnad
2scratchpad.csv,consistency-standards,The site is typical of other sites I have seen
