site,question,worker,correct
andrew,q2,AUUAFG5DUF89I,0
andrew,q4,AUUAFG5DUF89I,1
andrew,q1,A372F1FDPWXBY3,1
andrew,q2,A372F1FDPWXBY3,1
andrew,q4,A372F1FDPWXBY3,1
andrew,q1,A2Z5XEQNW13NUJ,0
andrew,q2,A2Z5XEQNW13NUJ,1
andrew,q4,A2Z5XEQNW13NUJ,1
andrew,q1,A2QBY47K90M99E,1
andrew,q2,A2QBY47K90M99E,1
andrew,q4,A2QBY47K90M99E,1
andrew,q1,A26GD7O74RXO5U,1
andrew,q2,A26GD7O74RXO5U,1
andrew,q4,A26GD7O74RXO5U,1
andrew,q1,A3774HPOUKYTX7,1
andrew,q2,A3774HPOUKYTX7,1
andrew,q4,A3774HPOUKYTX7,1
andrew,q1,A22QVNPVZ06RPI,1
andrew,q2,A22QVNPVZ06RPI,1
andrew,q4,A22QVNPVZ06RPI,1
andrew,q1,A3SS78KBXB2EWG,0
andrew,q2,A3SS78KBXB2EWG,1
andrew,q4,A3SS78KBXB2EWG,1
andrew,q1,A3VOMP0WOJTB4I,1
andrew,q2,A3VOMP0WOJTB4I,1
andrew,q4,A3VOMP0WOJTB4I,1
andrew,q1,A2TDLLB8JTZGBN,0
andrew,q2,A2TDLLB8JTZGBN,1
andrew,q4,A2TDLLB8JTZGBN,0
andrew,q1,AQ4PB1PVI9U7V,1
andrew,q2,AQ4PB1PVI9U7V,1
andrew,q4,AQ4PB1PVI9U7V,1
andrew,q1,A19HCBT1EH8484,1
andrew,q2,A19HCBT1EH8484,1
andrew,q4,A19HCBT1EH8484,1
andrew,q1,ADWDNBND4BW94,0
andrew,q2,ADWDNBND4BW94,0
andrew,q4,ADWDNBND4BW94,1
andrew,q1,A3M6D6HNOB7OZ,1
andrew,q2,A3M6D6HNOB7OZ,1
andrew,q4,A3M6D6HNOB7OZ,1
andrew,q1,A2JCK494NV7TFX,1
andrew,q2,A2JCK494NV7TFX,1
andrew,q4,A2JCK494NV7TFX,1
andrew,q1,AYYSG3O9FNU15,1
andrew,q2,AYYSG3O9FNU15,1
andrew,q4,AYYSG3O9FNU15,1
andrew,q1,A19C6T7B0H4PAQ,1
andrew,q2,A19C6T7B0H4PAQ,1
andrew,q4,A19C6T7B0H4PAQ,1
andrew,q1,A1S8DYWNS59XWB,1
andrew,q2,A1S8DYWNS59XWB,1
andrew,q4,A1S8DYWNS59XWB,1
andrew,q1,A30ZBG4SIBCC2A,1
andrew,q2,A30ZBG4SIBCC2A,1
andrew,q4,A30ZBG4SIBCC2A,1
andrew,q1,A1DCA3FSX06H6F,1
andrew,q2,A1DCA3FSX06H6F,1
andrew,q4,A1DCA3FSX06H6F,1
andrew,q1,A2SMAZGQOV2IAU,1
andrew,q2,A2SMAZGQOV2IAU,1
andrew,q4,A2SMAZGQOV2IAU,1
andrew,q1,A19HCBT1EH8484,1
andrew,q2,A19HCBT1EH8484,1
andrew,q4,A19HCBT1EH8484,1
andrew,q1,AUBB8KU9XV2R8,0
andrew,q2,AUBB8KU9XV2R8,1
andrew,q4,AUBB8KU9XV2R8,1
andrew,q1,A3M8JA9XN1J04B,0
andrew,q2,A3M8JA9XN1J04B,1
andrew,q4,A3M8JA9XN1J04B,1
andrew,q1,AUUAFG5DUF89I,1
andrew,q2,AUUAFG5DUF89I,1
andrew,q4,AUUAFG5DUF89I,1
andrew,q1,A30ZBG4SIBCC2A,1
andrew,q2,A30ZBG4SIBCC2A,1
andrew,q4,A30ZBG4SIBCC2A,1
andrew,q1,A3SIR6994WP6V,0
andrew,q2,A3SIR6994WP6V,1
andrew,q4,A3SIR6994WP6V,0
andrew,q1,A2QBY47K90M99E,1
andrew,q2,A2QBY47K90M99E,1
andrew,q4,A2QBY47K90M99E,1
andrew,q1,AYYSG3O9FNU15,1
andrew,q2,AYYSG3O9FNU15,1
andrew,q4,AYYSG3O9FNU15,1
andrew,q1,AEDV0CBBPU0RE,1
andrew,q2,AEDV0CBBPU0RE,1
andrew,q4,AEDV0CBBPU0RE,1
andrew,q1,A208MTGA7V29TP,1
andrew,q2,A208MTGA7V29TP,1
andrew,q4,A208MTGA7V29TP,1
andrew,q1,A3F7L0TIE1QEWW,1
andrew,q2,A3F7L0TIE1QEWW,0
andrew,q4,A3F7L0TIE1QEWW,1
andrew,q1,ADWDNBND4BW94,0
andrew,q2,ADWDNBND4BW94,0
andrew,q4,ADWDNBND4BW94,1
andrew,q1,APPZP50E4IOWJ,1
andrew,q2,APPZP50E4IOWJ,1
andrew,q4,APPZP50E4IOWJ,1
andrew,q1,A22R2NKWSYZ0KU,1
andrew,q2,A22R2NKWSYZ0KU,0
andrew,q4,A22R2NKWSYZ0KU,1
andrew,q1,AQ4PB1PVI9U7V,1
andrew,q2,AQ4PB1PVI9U7V,1
andrew,q4,AQ4PB1PVI9U7V,1
andrew,q1,A3VOMP0WOJTB4I,1
andrew,q2,A3VOMP0WOJTB4I,1
andrew,q4,A3VOMP0WOJTB4I,1
andrew,q1,A3774HPOUKYTX7,1
andrew,q2,A3774HPOUKYTX7,1
andrew,q4,A3774HPOUKYTX7,1
andrew,q1,A1ULLPIT6EU99K,0
andrew,q2,A1ULLPIT6EU99K,0
andrew,q4,A1ULLPIT6EU99K,0
conference,q1,APPZP50E4IOWJ,1
conference,q2,APPZP50E4IOWJ,0
conference,q4,APPZP50E4IOWJ,1
conference,q1,A2SWQM5X54P1O5,1
conference,q2,A2SWQM5X54P1O5,0
conference,q4,A2SWQM5X54P1O5,1
conference,q1,A21D1EVLIOKUKO,1
conference,q2,A21D1EVLIOKUKO,1
conference,q4,A21D1EVLIOKUKO,1
conference,q1,A3SIR6994WP6V,1
conference,q2,A3SIR6994WP6V,1
conference,q4,A3SIR6994WP6V,1
conference,q1,A1U7AAKEZ4YXZD,1
conference,q2,A1U7AAKEZ4YXZD,1
conference,q4,A1U7AAKEZ4YXZD,1
conference,q1,AQ4PB1PVI9U7V,1
conference,q2,AQ4PB1PVI9U7V,1
conference,q4,AQ4PB1PVI9U7V,1
conference,q1,A2QPJN3LPGTPDU,1
conference,q2,A2QPJN3LPGTPDU,0
conference,q4,A2QPJN3LPGTPDU,0
conference,q1,A3IT3XD8AROSP4,1
conference,q2,A3IT3XD8AROSP4,0
conference,q4,A3IT3XD8AROSP4,1
conference,q1,A19HCBT1EH8484,1
conference,q2,A19HCBT1EH8484,1
conference,q4,A19HCBT1EH8484,1
conference,q1,A2JD57WFHSBOST,1
conference,q2,A2JD57WFHSBOST,1
conference,q4,A2JD57WFHSBOST,1
conference,q1,A26NGLGGFTATVN,1
conference,q2,A26NGLGGFTATVN,1
conference,q4,A26NGLGGFTATVN,1
conference,q1,A19DY2RQN6EJAC,1
conference,q2,A19DY2RQN6EJAC,0
conference,q4,A19DY2RQN6EJAC,1
conference,q1,A3VOMP0WOJTB4I,1
conference,q2,A3VOMP0WOJTB4I,1
conference,q4,A3VOMP0WOJTB4I,1
conference,q1,A2VG4MJ15ZYDEH,1
conference,q2,A2VG4MJ15ZYDEH,0
conference,q4,A2VG4MJ15ZYDEH,1
conference,q1,AUBB8KU9XV2R8,1
conference,q2,AUBB8KU9XV2R8,1
conference,q4,AUBB8KU9XV2R8,1
conference,q1,A6LUA3WLPQ7OG,1
conference,q2,A6LUA3WLPQ7OG,0
conference,q4,A6LUA3WLPQ7OG,1
conference,q1,A2HJGKYASNAKK9,1
conference,q2,A2HJGKYASNAKK9,1
conference,q4,A2HJGKYASNAKK9,1
conference,q1,A1P41PED1FXROE,1
conference,q2,A1P41PED1FXROE,1
conference,q4,A1P41PED1FXROE,1
conference,q1,ADWDNBND4BW94,1
conference,q2,ADWDNBND4BW94,0
conference,q4,ADWDNBND4BW94,1
conference,q1,A20QZAISR4DREU,0
conference,q2,A20QZAISR4DREU,0
conference,q4,A20QZAISR4DREU,1
conference,q1,AP51OABHKXJCO,1
conference,q2,AP51OABHKXJCO,0
conference,q4,AP51OABHKXJCO,0
conference,q1,A3UIDFZ7IUOTUO,1
conference,q2,A3UIDFZ7IUOTUO,0
conference,q4,A3UIDFZ7IUOTUO,0
conference,q1,AYYSG3O9FNU15,1
conference,q2,AYYSG3O9FNU15,1
conference,q4,AYYSG3O9FNU15,1
conference,q1,ADWDNBND4BW94,1
conference,q2,ADWDNBND4BW94,0
conference,q4,ADWDNBND4BW94,1
conference,q1,A3774HPOUKYTX7,1
conference,q2,A3774HPOUKYTX7,0
conference,q4,A3774HPOUKYTX7,1
conference,q1,A22QVNPVZ06RPI,1
conference,q2,A22QVNPVZ06RPI,1
conference,q4,A22QVNPVZ06RPI,1
conference,q1,A19HCBT1EH8484,1
conference,q2,A19HCBT1EH8484,1
conference,q4,A19HCBT1EH8484,1
conference,q1,A3VOMP0WOJTB4I,1
conference,q2,A3VOMP0WOJTB4I,1
conference,q4,A3VOMP0WOJTB4I,1
conference,q1,A1P41PED1FXROE,1
conference,q2,A1P41PED1FXROE,1
conference,q4,A1P41PED1FXROE,1
conference,q1,A3IT3XD8AROSP4,1
conference,q2,A3IT3XD8AROSP4,0
conference,q4,A3IT3XD8AROSP4,1
conference,q1,A3OIP9UQMPXZ69,1
conference,q2,A3OIP9UQMPXZ69,1
conference,q4,A3OIP9UQMPXZ69,1
conference,q1,A2JCK494NV7TFX,1
conference,q2,A2JCK494NV7TFX,1
conference,q4,A2JCK494NV7TFX,1
conference,q1,A3422FS8PT4NQC,1
conference,q2,A3422FS8PT4NQC,0
conference,q4,A3422FS8PT4NQC,1
conference,q1,A20QZAISR4DREU,0
conference,q2,A20QZAISR4DREU,0
conference,q4,A20QZAISR4DREU,1
conference,q1,A24QX49QCFKLDH,1
conference,q2,A24QX49QCFKLDH,1
conference,q4,A24QX49QCFKLDH,1
conference,q1,A3SIR6994WP6V,1
conference,q2,A3SIR6994WP6V,0
conference,q4,A3SIR6994WP6V,0
conference,q1,A2SMAZGQOV2IAU,1
conference,q2,A2SMAZGQOV2IAU,1
conference,q4,A2SMAZGQOV2IAU,1
conference,q1,AUBB8KU9XV2R8,1
conference,q2,AUBB8KU9XV2R8,1
conference,q4,AUBB8KU9XV2R8,1
conference,q1,AQ4PB1PVI9U7V,1
conference,q2,AQ4PB1PVI9U7V,1
conference,q4,AQ4PB1PVI9U7V,1
conference,q1,A6LUA3WLPQ7OG,1
conference,q2,A6LUA3WLPQ7OG,0
conference,q4,A6LUA3WLPQ7OG,1
conference,q1,A20QZAISR4DREU,0
conference,q2,A20QZAISR4DREU,0
conference,q4,A20QZAISR4DREU,1
conference,q1,A3OIP9UQMPXZ69,1
conference,q2,A3OIP9UQMPXZ69,1
conference,q4,A3OIP9UQMPXZ69,1
conference,q1,A1P41PED1FXROE,1
conference,q2,A1P41PED1FXROE,1
conference,q4,A1P41PED1FXROE,1
conference,q1,A1BUBB41AO8TZ9,1
conference,q2,A1BUBB41AO8TZ9,0
conference,q4,A1BUBB41AO8TZ9,1
conference,q1,A3IT3XD8AROSP4,1
conference,q2,A3IT3XD8AROSP4,0
conference,q4,A3IT3XD8AROSP4,1
conference,q1,ADWDNBND4BW94,1
conference,q2,ADWDNBND4BW94,0
conference,q4,ADWDNBND4BW94,1
conference,q1,A31A4YKVSOYRVS,1
conference,q2,A31A4YKVSOYRVS,0
conference,q4,A31A4YKVSOYRVS,0
conference,q1,A2DNSD743W4OC2,0
conference,q2,A2DNSD743W4OC2,0
conference,q4,A2DNSD743W4OC2,0
conference,q1,A26GD7O74RXO5U,1
conference,q2,A26GD7O74RXO5U,0
conference,q4,A26GD7O74RXO5U,1
conference,q1,A26M2B8NZVKWTZ,1
conference,q2,A26M2B8NZVKWTZ,1
conference,q4,A26M2B8NZVKWTZ,1
conference,q1,A19HCBT1EH8484,1
conference,q2,A19HCBT1EH8484,1
conference,q4,A19HCBT1EH8484,1
conference,q1,AUUAFG5DUF89I,1
conference,q2,AUUAFG5DUF89I,0
conference,q4,AUUAFG5DUF89I,1
conference,q1,A22R2NKWSYZ0KU,1
conference,q2,A22R2NKWSYZ0KU,0
conference,q4,A22R2NKWSYZ0KU,1
conference,q1,A6LUA3WLPQ7OG,1
conference,q2,A6LUA3WLPQ7OG,0
conference,q4,A6LUA3WLPQ7OG,1
conference,q1,A1ULLPIT6EU99K,0
conference,q2,A1ULLPIT6EU99K,0
conference,q4,A1ULLPIT6EU99K,0
conference,q1,APWBUB0PDRLS5,1
conference,q2,APWBUB0PDRLS5,1
conference,q4,APWBUB0PDRLS5,1
conference,q1,AQ4PB1PVI9U7V,1
conference,q2,AQ4PB1PVI9U7V,1
conference,q4,AQ4PB1PVI9U7V,1
conference,q1,A3VOMP0WOJTB4I,1
conference,q2,A3VOMP0WOJTB4I,1
conference,q4,A3VOMP0WOJTB4I,1
conference,q1,A3SIR6994WP6V,1
conference,q2,A3SIR6994WP6V,0
conference,q4,A3SIR6994WP6V,1
conference,q1,A27I79P03I0ZPO,1
conference,q2,A27I79P03I0ZPO,1
conference,q4,A27I79P03I0ZPO,1
scratchpad,q2,A30ZBG4SIBCC2A,1
scratchpad,q4,A30ZBG4SIBCC2A,1
scratchpad,q2,A19G248ZRHWWHT,1
scratchpad,q4,A19G248ZRHWWHT,1
scratchpad,q2,ARQMVL81K3VZG,0
scratchpad,q4,ARQMVL81K3VZG,0
scratchpad,q2,A3SW1BXR31CZY0,1
scratchpad,q4,A3SW1BXR31CZY0,1
scratchpad,q2,A1U58BHNI9ECGV,1
scratchpad,q4,A1U58BHNI9ECGV,0
scratchpad,q2,A2TOWO0Q1ZJF4H,1
scratchpad,q4,A2TOWO0Q1ZJF4H,1
scratchpad,q2,A34AL11AXC9KK8,1
scratchpad,q4,A34AL11AXC9KK8,0
scratchpad,q2,AJMWITY1XT7H7,1
scratchpad,q4,AJMWITY1XT7H7,1
scratchpad,q2,A3VOMP0WOJTB4I,0
scratchpad,q4,A3VOMP0WOJTB4I,0
scratchpad,q2,A19HCBT1EH8484,0
scratchpad,q4,A19HCBT1EH8484,0
scratchpad,q2,ADAIY3ZVOWQFB,1
scratchpad,q4,ADAIY3ZVOWQFB,1
scratchpad,q2,A2GY4KKNZ73T5B,1
scratchpad,q4,A2GY4KKNZ73T5B,1
scratchpad,q2,AQ4PB1PVI9U7V,0
scratchpad,q4,AQ4PB1PVI9U7V,0
scratchpad,q2,A3774HPOUKYTX7,1
scratchpad,q4,A3774HPOUKYTX7,1
scratchpad,q2,A2NXDGNJXC6KFJ,1
scratchpad,q4,A2NXDGNJXC6KFJ,1
scratchpad,q2,AAWKOMPUB02SL,1
scratchpad,q4,AAWKOMPUB02SL,1
scratchpad,q2,A3OBNRL82QL59X,1
scratchpad,q4,A3OBNRL82QL59X,0
scratchpad,q2,AEDV0CBBPU0RE,1
scratchpad,q4,AEDV0CBBPU0RE,1
scratchpad,q2,A2DNSD743W4OC2,0
scratchpad,q4,A2DNSD743W4OC2,0
scratchpad,q2,A80PZ8RASZZJI,1
scratchpad,q4,A80PZ8RASZZJI,1
scratchpad,q1,AEDV0CBBPU0RE,1
scratchpad,q2,AEDV0CBBPU0RE,1
scratchpad,q4,AEDV0CBBPU0RE,1
scratchpad,q1,A3VOMP0WOJTB4I,1
scratchpad,q2,A3VOMP0WOJTB4I,0
scratchpad,q4,A3VOMP0WOJTB4I,0
scratchpad,q1,A2RFAD589KQRX5,1
scratchpad,q2,A2RFAD589KQRX5,1
scratchpad,q4,A2RFAD589KQRX5,0
scratchpad,q1,A25QEOBUEVJ750,1
scratchpad,q2,A25QEOBUEVJ750,1
scratchpad,q4,A25QEOBUEVJ750,0
scratchpad,q1,AVNQIYIWOFMIR,1
scratchpad,q2,AVNQIYIWOFMIR,1
scratchpad,q4,AVNQIYIWOFMIR,1
scratchpad,q1,A1YX741QQSMKPS,0
scratchpad,q2,A1YX741QQSMKPS,0
scratchpad,q4,A1YX741QQSMKPS,0
scratchpad,q1,ADAIY3ZVOWQFB,1
scratchpad,q2,ADAIY3ZVOWQFB,1
scratchpad,q4,ADAIY3ZVOWQFB,1
scratchpad,q1,A30ZBG4SIBCC2A,1
scratchpad,q2,A30ZBG4SIBCC2A,1
scratchpad,q4,A30ZBG4SIBCC2A,1
scratchpad,q1,A19G248ZRHWWHT,1
scratchpad,q2,A19G248ZRHWWHT,1
scratchpad,q4,A19G248ZRHWWHT,1
scratchpad,q1,A19HCBT1EH8484,1
scratchpad,q2,A19HCBT1EH8484,0
scratchpad,q4,A19HCBT1EH8484,0
scratchpad,q1,AAWKOMPUB02SL,1
scratchpad,q2,AAWKOMPUB02SL,1
scratchpad,q4,AAWKOMPUB02SL,1
scratchpad,q1,A34AL11AXC9KK8,1
scratchpad,q2,A34AL11AXC9KK8,1
scratchpad,q4,A34AL11AXC9KK8,0
scratchpad,q1,AJMWITY1XT7H7,1
scratchpad,q2,AJMWITY1XT7H7,1
scratchpad,q4,AJMWITY1XT7H7,1
scratchpad,q1,A2NBQXD2V7045H,1
scratchpad,q2,A2NBQXD2V7045H,1
scratchpad,q4,A2NBQXD2V7045H,0
scratchpad,q1,A2GY4KKNZ73T5B,1
scratchpad,q2,A2GY4KKNZ73T5B,1
scratchpad,q4,A2GY4KKNZ73T5B,1
scratchpad,q1,A3774HPOUKYTX7,1
scratchpad,q2,A3774HPOUKYTX7,1
scratchpad,q4,A3774HPOUKYTX7,1
scratchpad,q1,A3SW1BXR31CZY0,1
scratchpad,q2,A3SW1BXR31CZY0,1
scratchpad,q4,A3SW1BXR31CZY0,1
scratchpad,q1,A80PZ8RASZZJI,1
scratchpad,q2,A80PZ8RASZZJI,1
scratchpad,q4,A80PZ8RASZZJI,1
scratchpad,q1,AQ4PB1PVI9U7V,1
scratchpad,q2,AQ4PB1PVI9U7V,0
scratchpad,q4,AQ4PB1PVI9U7V,0
scratchpad,q1,A2TUNPP2GOQ1N3,0
scratchpad,q2,A2TUNPP2GOQ1N3,0
scratchpad,q4,A2TUNPP2GOQ1N3,0
scratchpad,q1,AEDV0CBBPU0RE,1
scratchpad,q2,AEDV0CBBPU0RE,1
scratchpad,q4,AEDV0CBBPU0RE,1
scratchpad,q1,AJMWITY1XT7H7,1
scratchpad,q2,AJMWITY1XT7H7,1
scratchpad,q4,AJMWITY1XT7H7,1
scratchpad,q1,A3774HPOUKYTX7,1
scratchpad,q2,A3774HPOUKYTX7,1
scratchpad,q4,A3774HPOUKYTX7,1
scratchpad,q1,A2NXDGNJXC6KFJ,1
scratchpad,q2,A2NXDGNJXC6KFJ,1
scratchpad,q4,A2NXDGNJXC6KFJ,1
scratchpad,q1,A3SW1BXR31CZY0,1
scratchpad,q2,A3SW1BXR31CZY0,1
scratchpad,q4,A3SW1BXR31CZY0,1
scratchpad,q1,ADAIY3ZVOWQFB,1
scratchpad,q2,ADAIY3ZVOWQFB,1
scratchpad,q4,ADAIY3ZVOWQFB,1
scratchpad,q1,A34AL11AXC9KK8,1
scratchpad,q2,A34AL11AXC9KK8,1
scratchpad,q4,A34AL11AXC9KK8,0
scratchpad,q1,A1JMINVUZ2AOZR,1
scratchpad,q2,A1JMINVUZ2AOZR,1
scratchpad,q4,A1JMINVUZ2AOZR,0
scratchpad,q1,A19G248ZRHWWHT,1
scratchpad,q2,A19G248ZRHWWHT,1
scratchpad,q4,A19G248ZRHWWHT,1
scratchpad,q1,A2GY4KKNZ73T5B,1
scratchpad,q2,A2GY4KKNZ73T5B,1
scratchpad,q4,A2GY4KKNZ73T5B,1
scratchpad,q1,A80PZ8RASZZJI,1
scratchpad,q2,A80PZ8RASZZJI,1
scratchpad,q4,A80PZ8RASZZJI,1
scratchpad,q1,AVNQIYIWOFMIR,1
scratchpad,q2,AVNQIYIWOFMIR,1
scratchpad,q4,AVNQIYIWOFMIR,1
scratchpad,q1,AU8TGJAIKEBEF,1
scratchpad,q2,AU8TGJAIKEBEF,1
scratchpad,q4,AU8TGJAIKEBEF,1
scratchpad,q1,A3UUTFA63Y9TPX,1
scratchpad,q2,A3UUTFA63Y9TPX,1
scratchpad,q4,A3UUTFA63Y9TPX,0
scratchpad,q1,A30ZBG4SIBCC2A,1
scratchpad,q2,A30ZBG4SIBCC2A,1
scratchpad,q4,A30ZBG4SIBCC2A,1
scratchpad,q1,AAWKOMPUB02SL,1
scratchpad,q2,AAWKOMPUB02SL,1
scratchpad,q4,AAWKOMPUB02SL,1
scratchpad,q1,A19HCBT1EH8484,1
scratchpad,q2,A19HCBT1EH8484,0
scratchpad,q4,A19HCBT1EH8484,0
scratchpad,q1,A3VOMP0WOJTB4I,1
scratchpad,q2,A3VOMP0WOJTB4I,0
scratchpad,q4,A3VOMP0WOJTB4I,0
scratchpad,q1,AQ4PB1PVI9U7V,1
scratchpad,q2,AQ4PB1PVI9U7V,0
scratchpad,q4,AQ4PB1PVI9U7V,0
scratchpad,q1,AWPPIW21DGL29,1
scratchpad,q2,AWPPIW21DGL29,1
scratchpad,q4,AWPPIW21DGL29,0
