site,hit,question,category,worker,worktime,answer
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A3SIR6994WP6V,300,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A3SIR6994WP6V,300,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A3SIR6994WP6V,300,5
andrew,1,The website often did not act as I thought it would,Error Prevention,A3SIR6994WP6V,300,5
andrew,1,I found I could navigate the website without any problems,Error Prevention,A3SIR6994WP6V,300,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A2QNKWLPEIFZ2J,191,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A2QNKWLPEIFZ2J,191,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A2QNKWLPEIFZ2J,191,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A2QNKWLPEIFZ2J,191,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A2QNKWLPEIFZ2J,191,5
andrew,1,The website often did not act as I thought it would,Error Prevention,A2QNKWLPEIFZ2J,191,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,A2QNKWLPEIFZ2J,191,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A1SVUNEZBEG1X8,1781,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A1SVUNEZBEG1X8,1781,4
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A1SVUNEZBEG1X8,1781,5
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A1SVUNEZBEG1X8,1781,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A1SVUNEZBEG1X8,1781,5
andrew,1,The website often did not act as I thought it would,Error Prevention,A1SVUNEZBEG1X8,1781,3
andrew,1,I found I could navigate the website without any problems,Error Prevention,A1SVUNEZBEG1X8,1781,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A1ULLPIT6EU99K,62,0
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A1ULLPIT6EU99K,62,0
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A1ULLPIT6EU99K,62,0
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A1ULLPIT6EU99K,62,0
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A1ULLPIT6EU99K,62,0
andrew,1,The website often did not act as I thought it would,Error Prevention,A1ULLPIT6EU99K,62,0
andrew,1,I found I could navigate the website without any problems,Error Prevention,A1ULLPIT6EU99K,62,0
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A30ZBG4SIBCC2A,55,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A30ZBG4SIBCC2A,55,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A30ZBG4SIBCC2A,55,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A30ZBG4SIBCC2A,55,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A30ZBG4SIBCC2A,55,5
andrew,1,The website often did not act as I thought it would,Error Prevention,A30ZBG4SIBCC2A,55,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,A30ZBG4SIBCC2A,55,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,ADVZ6ZG7MEOKE,171,2
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,ADVZ6ZG7MEOKE,171,1
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,ADVZ6ZG7MEOKE,171,4
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,ADVZ6ZG7MEOKE,171,3
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,ADVZ6ZG7MEOKE,171,3
andrew,1,The website often did not act as I thought it would,Error Prevention,ADVZ6ZG7MEOKE,171,4
andrew,1,I found I could navigate the website without any problems,Error Prevention,ADVZ6ZG7MEOKE,171,1
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,AYYSG3O9FNU15,190,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,AYYSG3O9FNU15,190,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,AYYSG3O9FNU15,190,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,AYYSG3O9FNU15,190,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,AYYSG3O9FNU15,190,5
andrew,1,The website often did not act as I thought it would,Error Prevention,AYYSG3O9FNU15,190,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,AYYSG3O9FNU15,190,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,AEDV0CBBPU0RE,35,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,AEDV0CBBPU0RE,35,4
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,AEDV0CBBPU0RE,35,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,AEDV0CBBPU0RE,35,4
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,AEDV0CBBPU0RE,35,4
andrew,1,The website often did not act as I thought it would,Error Prevention,AEDV0CBBPU0RE,35,2
andrew,1,I found I could navigate the website without any problems,Error Prevention,AEDV0CBBPU0RE,35,4
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A19HCBT1EH8484,953,2
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A19HCBT1EH8484,953,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A19HCBT1EH8484,953,5
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A19HCBT1EH8484,953,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A19HCBT1EH8484,953,5
andrew,1,The website often did not act as I thought it would,Error Prevention,A19HCBT1EH8484,953,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,A19HCBT1EH8484,953,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A10XYFXQYJKBXF,184,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A10XYFXQYJKBXF,184,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A10XYFXQYJKBXF,184,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A10XYFXQYJKBXF,184,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A10XYFXQYJKBXF,184,5
andrew,1,The website often did not act as I thought it would,Error Prevention,A10XYFXQYJKBXF,184,2
andrew,1,I found I could navigate the website without any problems,Error Prevention,A10XYFXQYJKBXF,184,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A19C6T7B0H4PAQ,131,2
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A19C6T7B0H4PAQ,131,3
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A19C6T7B0H4PAQ,131,2
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A19C6T7B0H4PAQ,131,2
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A19C6T7B0H4PAQ,131,3
andrew,1,The website often did not act as I thought it would,Error Prevention,A19C6T7B0H4PAQ,131,2
andrew,1,I found I could navigate the website without any problems,Error Prevention,A19C6T7B0H4PAQ,131,4
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A3774HPOUKYTX7,60,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A3774HPOUKYTX7,60,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A3774HPOUKYTX7,60,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A3774HPOUKYTX7,60,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A3774HPOUKYTX7,60,0
andrew,1,The website often did not act as I thought it would,Error Prevention,A3774HPOUKYTX7,60,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,A3774HPOUKYTX7,60,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A1BJPNHVA4LTHD,246,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A1BJPNHVA4LTHD,246,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A1BJPNHVA4LTHD,246,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A1BJPNHVA4LTHD,246,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A1BJPNHVA4LTHD,246,5
andrew,1,The website often did not act as I thought it would,Error Prevention,A1BJPNHVA4LTHD,246,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,A1BJPNHVA4LTHD,246,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,AAKL8L5X64LWD,1015,2
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,AAKL8L5X64LWD,1015,0
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,AAKL8L5X64LWD,1015,3
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,AAKL8L5X64LWD,1015,4
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,AAKL8L5X64LWD,1015,4
andrew,1,The website often did not act as I thought it would,Error Prevention,AAKL8L5X64LWD,1015,3
andrew,1,I found I could navigate the website without any problems,Error Prevention,AAKL8L5X64LWD,1015,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A2QBY47K90M99E,58,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A2QBY47K90M99E,58,4
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A2QBY47K90M99E,58,4
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A2QBY47K90M99E,58,1
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A2QBY47K90M99E,58,1
andrew,1,The website often did not act as I thought it would,Error Prevention,A2QBY47K90M99E,58,5
andrew,1,I found I could navigate the website without any problems,Error Prevention,A2QBY47K90M99E,58,3
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,AQ4PB1PVI9U7V,1013,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,AQ4PB1PVI9U7V,1013,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,AQ4PB1PVI9U7V,1013,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,AQ4PB1PVI9U7V,1013,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,AQ4PB1PVI9U7V,1013,5
andrew,1,The website often did not act as I thought it would,Error Prevention,AQ4PB1PVI9U7V,1013,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,AQ4PB1PVI9U7V,1013,5
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A3SIR6994WP6V,187,5
andrew,2,I could understand what the website was doing,Visibility of System Status,A3SIR6994WP6V,187,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A3SIR6994WP6V,187,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A3SIR6994WP6V,187,1
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A3SIR6994WP6V,187,5
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A3SIR6994WP6V,187,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A3SIR6994WP6V,187,4
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,AUUAFG5DUF89I,54,0
andrew,2,I could understand what the website was doing,Visibility of System Status,AUUAFG5DUF89I,54,0
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,AUUAFG5DUF89I,54,0
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,AUUAFG5DUF89I,54,0
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,AUUAFG5DUF89I,54,0
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",AUUAFG5DUF89I,54,0
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,AUUAFG5DUF89I,54,0
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A372F1FDPWXBY3,449,1
andrew,2,I could understand what the website was doing,Visibility of System Status,A372F1FDPWXBY3,449,4
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A372F1FDPWXBY3,449,4
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A372F1FDPWXBY3,449,3
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A372F1FDPWXBY3,449,4
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A372F1FDPWXBY3,449,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A372F1FDPWXBY3,449,0
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A2Z5XEQNW13NUJ,212,2
andrew,2,I could understand what the website was doing,Visibility of System Status,A2Z5XEQNW13NUJ,212,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A2Z5XEQNW13NUJ,212,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A2Z5XEQNW13NUJ,212,2
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A2Z5XEQNW13NUJ,212,5
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A2Z5XEQNW13NUJ,212,2
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A2Z5XEQNW13NUJ,212,5
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A2QBY47K90M99E,125,3
andrew,2,I could understand what the website was doing,Visibility of System Status,A2QBY47K90M99E,125,3
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A2QBY47K90M99E,125,5
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A2QBY47K90M99E,125,5
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A2QBY47K90M99E,125,2
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A2QBY47K90M99E,125,3
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A2QBY47K90M99E,125,3
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A26GD7O74RXO5U,277,2
andrew,2,I could understand what the website was doing,Visibility of System Status,A26GD7O74RXO5U,277,1
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A26GD7O74RXO5U,277,5
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A26GD7O74RXO5U,277,4
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A26GD7O74RXO5U,277,2
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A26GD7O74RXO5U,277,5
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A26GD7O74RXO5U,277,2
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A3774HPOUKYTX7,87,1
andrew,2,I could understand what the website was doing,Visibility of System Status,A3774HPOUKYTX7,87,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A3774HPOUKYTX7,87,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A3774HPOUKYTX7,87,1
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A3774HPOUKYTX7,87,5
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A3774HPOUKYTX7,87,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A3774HPOUKYTX7,87,5
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A22QVNPVZ06RPI,211,2
andrew,2,I could understand what the website was doing,Visibility of System Status,A22QVNPVZ06RPI,211,4
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A22QVNPVZ06RPI,211,3
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A22QVNPVZ06RPI,211,3
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A22QVNPVZ06RPI,211,4
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A22QVNPVZ06RPI,211,2
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A22QVNPVZ06RPI,211,3
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A3SS78KBXB2EWG,1869,1
andrew,2,I could understand what the website was doing,Visibility of System Status,A3SS78KBXB2EWG,1869,4
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A3SS78KBXB2EWG,1869,2
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A3SS78KBXB2EWG,1869,4
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A3SS78KBXB2EWG,1869,3
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A3SS78KBXB2EWG,1869,2
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A3SS78KBXB2EWG,1869,3
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A3VOMP0WOJTB4I,1015,4
andrew,2,I could understand what the website was doing,Visibility of System Status,A3VOMP0WOJTB4I,1015,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A3VOMP0WOJTB4I,1015,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A3VOMP0WOJTB4I,1015,1
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A3VOMP0WOJTB4I,1015,5
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A3VOMP0WOJTB4I,1015,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A3VOMP0WOJTB4I,1015,5
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A2TDLLB8JTZGBN,149,0
andrew,2,I could understand what the website was doing,Visibility of System Status,A2TDLLB8JTZGBN,149,1
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A2TDLLB8JTZGBN,149,5
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A2TDLLB8JTZGBN,149,4
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A2TDLLB8JTZGBN,149,2
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A2TDLLB8JTZGBN,149,4
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A2TDLLB8JTZGBN,149,3
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,AQ4PB1PVI9U7V,945,4
andrew,2,I could understand what the website was doing,Visibility of System Status,AQ4PB1PVI9U7V,945,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,AQ4PB1PVI9U7V,945,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,AQ4PB1PVI9U7V,945,1
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,AQ4PB1PVI9U7V,945,5
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",AQ4PB1PVI9U7V,945,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,AQ4PB1PVI9U7V,945,5
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A19HCBT1EH8484,806,4
andrew,2,I could understand what the website was doing,Visibility of System Status,A19HCBT1EH8484,806,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A19HCBT1EH8484,806,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A19HCBT1EH8484,806,1
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A19HCBT1EH8484,806,5
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A19HCBT1EH8484,806,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A19HCBT1EH8484,806,5
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,ADWDNBND4BW94,1460,1
andrew,2,I could understand what the website was doing,Visibility of System Status,ADWDNBND4BW94,1460,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,ADWDNBND4BW94,1460,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,ADWDNBND4BW94,1460,1
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,ADWDNBND4BW94,1460,1
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",ADWDNBND4BW94,1460,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,ADWDNBND4BW94,1460,5
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A3M6D6HNOB7OZ,158,3
andrew,2,I could understand what the website was doing,Visibility of System Status,A3M6D6HNOB7OZ,158,4
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A3M6D6HNOB7OZ,158,2
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A3M6D6HNOB7OZ,158,2
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A3M6D6HNOB7OZ,158,5
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A3M6D6HNOB7OZ,158,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A3M6D6HNOB7OZ,158,4
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A2JCK494NV7TFX,168,1
andrew,2,I could understand what the website was doing,Visibility of System Status,A2JCK494NV7TFX,168,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,A2JCK494NV7TFX,168,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,A2JCK494NV7TFX,168,1
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,A2JCK494NV7TFX,168,4
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",A2JCK494NV7TFX,168,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,A2JCK494NV7TFX,168,4
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,AYYSG3O9FNU15,79,1
andrew,2,I could understand what the website was doing,Visibility of System Status,AYYSG3O9FNU15,79,5
andrew,2,I found it difficult to understand what was going on,Visibility of System Status,AYYSG3O9FNU15,79,1
andrew,2,"The website was cluttered, and I often had difficulty figuring out what to do next",Aesthetic and Minimalist Design,AYYSG3O9FNU15,79,1
andrew,2,"I could navigate the website easily, and didn't see anything unnecessary",Aesthetic and Minimalist Design,AYYSG3O9FNU15,79,5
andrew,2,"I ran into problems, and the website did not help me figure out how to fix it","Help Users Recognize, Diagnose, and Recover from Errors",AYYSG3O9FNU15,79,1
andrew,2,"I was able to easily navigate the website, undoing actions if necessary",User control and Freedom,AYYSG3O9FNU15,79,5
andrew,2,I was asked if I was sure about doing something that would make a change,Error Prevention,A19C6T7B0H4PAQ,53,2
andrew,2,I could understand what the website was doing,Visibility of System Status,A19C6T7B0H4PAQ,53,3
